"Ticker","Nome","Negócios","Última (R$)","Variação"
"GOAU3","Metalúrgica Gerdau","26.300","8,54","+0,00%"
"BSLI4","Banco de Brasília","25.800","3,90","-0,26%"
"AMOB3","Automob","24.800","13,19","-3,65%"
"RPMG3","Refinaria de Manguinhos","23.800","2,19","+3,30%"
"FICT3","Fictor Alimentos","23.400","0,41","-2,38%"
"DMVF3","D1000 Varejo Farma","22.900","6,80","-0,29%"
"AALR3","Alliança","22.600","3,69","-5,38%"
"AVLL3","Alphaville","22.400","0,76","+4,11%"
"BOBR4","Bombril","22.000","1,16","-4,13%"
"IGTI3","Iguatemi","21.200","3,19","-0,62%"
"IGTI3","Jereissati Participações","21.200","3,19","-0,62%"
"BRAP3","Bradespar","20.900","20,06","-0,25%"
"GGBR3","Gerdau","18.400","18,17","-0,16%"
"UCAS3","Unicasa","17.900","1,53","+3,38%"
"EUCA4","Eucatex","17.600","20,40","-1,02%"
"PDTC3","Padtec","17.300","1,50","+0,00%"
"LAND3","Terra Santa","17.200","8,62","-3,25%"
"ALUP4","Alupar","16.600","10,85","-1,36%"
"MGEL4","Mangels","13.800","5,98","-3,39%"
"AZEV11","Azevedo & Travassos","13.800","0,07","+0,00%"
"CAMB3","Cambuci","13.400","9,60","-0,93%"
"ALPA3","Alpargatas","13.300","10,55","-4,09%"
"EALT4","Electro Aço Altona","12.800","13,09","+1,08%"
"EQPA3","Equatorial Energia Pará","12.700","6,91","-0,29%"
"WHRL3","Whirlpool","12.300","4,00","-0,50%"
"HAGA3","Haga","12.200","2,50","-4,58%"
"BEES3","Banestes","11.800","8,71","-0,80%"
"MNPR3","Minupar","11.500","4,14","+0,00%"
"TASA3","Taurus","10.700","5,00","-3,10%"
"DOTZ3","Dotz","9.800","3,64","-3,70%"
"PINE3","Banco Pine","9.700","14,87","+4,13%"
"BMEB3","Banco Mercantil do Brasil","8.500","64,51","-1,13%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","8.300","2,30","-6,88%"
"RAPT3","Randon","8.200","5,08","-2,31%"
"ENGI4","Energisa","8.000","10,15","+0,50%"
"EPAR3","Embpar Participações","7.900","2,91","-0,34%"
"TRAD3","Traders Club","7.800","2,14","-2,73%"
"CGRA4","Grazziotin","6.900","26,19","+0,34%"
"LOGN3","Log-In","6.800","32,20","+1,29%"
"BSLI3","Banco de Brasília","6.600","4,00","-0,99%"
"WDCN3","WDC Networks","6.200","2,51","+0,40%"
"UNIP3","Unipar","5.700","60,02","-1,61%"
"FHER3","Fertilizantes Heringer","5.600","4,22","+0,96%"
"CGRA3","Grazziotin","5.100","26,22","-1,06%"
"OFSA3","Ourofino Saúde Animal","4.300","27,46","-1,93%"
"COCE5","Coelce","4.200","31,80","+0,03%"
"LUXM4","Trevisa","4.000","3,82","-3,29%"
"PTNT3","Pettenati","3.900","8,68","+0,00%"
"NUTR3","Nutriplant","3.800","2,23","+0,45%"
"HOOT4","Hotéis Othon","3.700","6,45","+7,14%"
"BIED3","Bioma","3.600","9,05","-7,37%"
